layer,object,n_sigmas,sigma1,er99,er999
35,o_proj_full,4096,3.3740756511688232,3270,3874
35,q_proj_full,4096,5.533115386962891,3255,3885
35,v_proj_full,256,0.949094295501709,246,254
36,G_stacked,4096,3.447280168533325,3484,3974
36,K_stacked,256,1.1140414476394653,228,250
36,O_stacked,4096,2.882591724395752,3235,3829
36,QK_stacked_key,256,4.3814191818237305,220,246
36,QK_stacked_query,4096,2.8414840698242188,3023,3678
36,Q_stacked,4096,2.883976936340332,3399,3935
36,VO_stacked_read,256,3.8422317504882812,248,255
36,VO_stacked_write,4096,2.728388547897339,3386,3923
36,V_stacked,256,1.0100581645965576,249,255
36,gate_proj_full,4096,10.303969383239746,3504,3979
36,k_proj_full,256,2.4013586044311523,230,250
36,o_proj_full,4096,3.525739908218384,3447,3951
36,q_proj_full,4096,6.009424209594727,3408,3935
36,v_proj_full,256,1.0961123704910278,249,255
37,G_stacked,4096,3.994147539138794,3424,3941
37,K_stacked,256,1.159097671508789,236,250
37,O_stacked,4096,2.8168346881866455,3228,3855
37,QK_stacked_key,256,4.568321704864502,234,251
37,QK_stacked_query,4096,2.67033314704895,3231,3807
37,Q_stacked,4096,2.9066312313079834,3370,3921
37,VO_stacked_read,256,3.4866979122161865,245,255
37,VO_stacked_write,4096,2.6571593284606934,3190,3837
37,V_stacked,256,1.005466103553772,247,255
37,gate_proj_full,4096,11.413971900939941,3432,3941
37,k_proj_full,256,2.3809196949005127,235,250
37,o_proj_full,4096,4.213864326477051,3388,3930
37,q_proj_full,4096,6.146157741546631,3385,3925
37,v_proj_full,256,1.078391671180725,247,255
38,G_stacked,4096,4.032411575317383,3467,3967
38,K_stacked,256,1.1779663562774658,231,250
38,O_stacked,4096,3.183898448944092,3435,3941
38,QK_stacked_key,256,4.594444274902344,228,250
38,QK_stacked_query,4096,2.625124454498291,3123,3781
38,Q_stacked,4096,2.743401527404785,3430,3949
38,VO_stacked_read,256,3.4192633628845215,244,254
38,VO_stacked_write,4096,2.575096845626831,3370,3908
38,V_stacked,256,1.004414677619934,246,255
38,gate_proj_full,4096,12.221529960632324,3473,3967
38,k_proj_full,256,2.7787816524505615,231,250
38,o_proj_full,4096,2.71694016456604,3455,3939
