layer,matrix,shape,rms,ratio_to_target,head_rms_min,head_rms_max,head_max_over_min,row_norm_cv
6,self_attn.o_proj,"(4096, 4096)",0.026701586320996284,3.4178030490875244,0.022169247269630432,0.032038476318120956,1.4451765514840165,0.11395308375358582
6,mlp.gate_proj,"(12288, 4096)",0.03165677562355995,4.052067279815674,nan,nan,nan,0.15435576438903809
6,mlp.up_proj,"(12288, 4096)",0.025266369804739952,3.234095335006714,nan,nan,nan,0.03702773153781891
6,mlp.down_proj,"(4096, 12288)",0.025371704250574112,3.2475781440734863,nan,nan,nan,0.06342925876379013
7,self_attn.q_proj,"(4096, 4096)",0.02551291324198246,3.265652894973755,0.020331963896751404,0.028130298480391502,1.3835504835263897,0.18948525190353394
7,self_attn.k_proj,"(1024, 4096)",0.02634323202073574,3.371933698654175,0.022758042439818382,0.028295323252677917,1.2433109450209692,0.20146024227142334
7,self_attn.v_proj,"(1024, 4096)",0.03014439530670643,3.858482599258423,0.019878897815942764,0.03428421542048454,1.724653737743387,0.14722281694412231
7,self_attn.o_proj,"(4096, 4096)",0.026372045278549194,3.375621795654297,0.019920222461223602,0.02999333292245865,1.5056725887897693,0.08985016494989395
7,mlp.gate_proj,"(12288, 4096)",0.03116266243159771,3.988820791244507,nan,nan,nan,0.13962501287460327
7,mlp.up_proj,"(12288, 4096)",0.025515347719192505,3.2659645080566406,nan,nan,nan,0.0363507978618145
7,mlp.down_proj,"(4096, 12288)",0.02552250400185585,3.266880512237549,nan,nan,nan,0.06215069442987442
8,self_attn.q_proj,"(4096, 4096)",0.025945916771888733,3.321077346801758,0.02307398058474064,0.02807031013071537,1.2165352236310245,0.17260630428791046
8,self_attn.k_proj,"(1024, 4096)",0.026974648237228394,3.4527549743652344,0.026286505162715912,0.027577627450227737,1.0491173048497568,0.19535547494888306
8,self_attn.v_proj,"(1024, 4096)",0.029964487999677658,3.8354544639587402,0.026810869574546814,0.032209157943725586,1.2013470079427673,0.08066919445991516
8,self_attn.o_proj,"(4096, 4096)",0.027030905708670616,3.459955930709839,0.02384617179632187,0.029915649443864822,1.2545262903993308,0.07818341255187988
8,mlp.gate_proj,"(12288, 4096)",0.028488192707300186,3.646488666534424,nan,nan,nan,0.08764812350273132
8,mlp.up_proj,"(12288, 4096)",0.026480283588171005,3.3894762992858887,nan,nan,nan,0.03676760941743851
8,mlp.down_proj,"(4096, 12288)",0.026603737846016884,3.405278444290161,nan,nan,nan,0.06617075204849243
9,self_attn.q_proj,"(4096, 4096)",0.025364132598042488,3.2466089725494385,0.01968207024037838,0.03010770119726658,1.5297019485023324,0.20048141479492188
