layer,head,openness,switchiness,frac_closed,ch_lo_frac,ch_hi_frac,min_ch_mean,n_ch_mean_lt_01
13,5,0.1844,0.0793,0.1157,0.24,0.0,0.0536,5
13,6,0.2785,0.0693,0.0005,0.0456,0.0001,0.0846,1
13,7,0.2617,0.0929,0.0259,0.0967,0.0,0.046,2
13,8,0.2467,0.0552,0.0017,0.0816,0.0,0.1213,0
13,9,0.2545,0.0881,0.0186,0.0862,0.0,0.0466,2
13,10,0.4803,0.099,0.0,0.0004,0.0032,0.2845,0
13,11,0.1566,0.0542,0.1391,0.3281,0.0,0.0445,7
13,12,0.2197,0.0591,0.0034,0.1095,0.0001,0.0667,2
13,13,0.1705,0.0459,0.0146,0.1864,0.0,0.0482,3
13,14,0.3226,0.0992,0.0072,0.0529,0.0,0.0706,1
13,15,0.1455,0.0736,0.2997,0.4025,0.0,0.0388,13
13,16,0.2677,0.0706,0.0087,0.0847,0.0,0.0948,1
13,17,0.1105,0.074,0.6358,0.6351,0.0005,0.0386,50
13,18,0.2723,0.1151,0.0458,0.0938,0.0001,0.0893,1
13,19,0.4283,0.0946,0.0,0.001,0.0,0.3561,0
13,20,0.2635,0.1054,0.0496,0.0984,0.0,0.1071,0
13,21,0.1946,0.0664,0.0705,0.2589,0.0002,0.0779,9
13,22,0.2939,0.1133,0.0235,0.0722,0.0001,0.1232,0
13,23,0.2223,0.0832,0.0316,0.1638,0.0001,0.073,5
13,24,0.1905,0.0861,0.1424,0.2608,0.0,0.059,4
13,25,0.2111,0.0932,0.0871,0.1532,0.0,0.1344,0
13,26,0.2436,0.0969,0.0647,0.1426,0.0,0.1032,0
13,27,0.337,0.1009,0.0024,0.0516,0.0004,0.1654,0
13,28,0.2328,0.134,0.097,0.1644,0.0004,0.1157,0
13,29,0.2293,0.0951,0.0664,0.1526,0.0001,0.1221,0
13,30,0.1866,0.0991,0.2065,0.2659,0.0,0.1107,0
13,31,0.237,0.0921,0.0325,0.0946,0.0,0.0989,1
14,0,0.2199,0.1257,0.0617,0.2881,0.0033,0.0323,8
14,1,0.1292,0.0577,0.3326,0.4911,0.0,0.0436,25
14,2,0.4619,0.0574,0.0,0.0151,0.0034,0.0774,1
14,3,0.165,0.064,0.1311,0.3055,0.0,0.0398,7
14,4,0.219,0.1157,0.0887,0.251,0.0004,0.0355,7
14,5,0.2105,0.0565,0.0008,0.2184,0.0004,0.0347,11
14,6,0.213,0.0739,0.0512,0.2442,0.0001,0.0395,10
14,7,0.2126,0.1487,0.2364,0.3146,0.0002,0.0401,3
14,8,0.162,0.0532,0.0882,0.332,0.0,0.0269,16
14,9,0.2328,0.0788,0.0056,0.1532,0.0001,0.0672,3
14,10,0.3053,0.0695,0.0003,0.1556,0.0014,0.0452,7
14,11,0.2385,0.0638,0.0081,0.1846,0.0001,0.037,8
14,12,0.2185,0.0773,0.0222,0.1969,0.0001,0.0306,7
14,13,0.2308,0.1115,0.0518,0.2301,0.0019,0.0406,9
14,14,0.1723,0.0457,0.0302,0.3097,0.0,0.036,14
14,15,0.4199,0.0933,0.0,0.0236,0.0038,0.1568,0
14,16,0.2369,0.0696,0.0115,0.1212,0.0,0.0901,2
14,17,0.1915,0.0559,0.0324,0.281,0.0,0.05,8
14,18,0.227,0.0915,0.0879,0.2405,0.0002,0.0168,6
14,19,0.1758,0.0483,0.0537,0.3537,0.0,0.0143,12
