layer,matrix,head,kv_group,sigma1,stable_rank,er99,er999,head_rms_raw,exact
23,G,27,1,4.044918537139893,2.981,117,127,5.854699e-03,
23,G,28,1,2.664529323577881,4.266,117,127,4.581678e-03,
23,G,29,1,3.3608546257019043,3.798,115,127,5.449867e-03,
23,G,30,1,3.6046605110168457,4.42,118,127,6.299522e-03,
23,G,31,1,4.055160045623779,2.712,115,127,5.539880e-03,
23,K,0,0,1.6064730882644653,18.155,124,127,5.762092e-03,
23,K,1,1,1.3530771732330322,30.39,125,127,6.473427e-03,
23,O,0,0,0.7275645136833191,58.757,124,128,6.042085e-03,
23,O,1,0,0.9404296278953552,36.477,124,128,6.153424e-03,
23,O,2,0,1.3723933696746826,16.584,123,128,6.054909e-03,
23,O,3,0,0.845396876335144,39.075,123,128,5.725261e-03,
23,O,4,0,0.7069875597953796,56.01,124,128,5.732274e-03,
23,O,5,0,0.8987519145011902,37.497,122,127,5.962394e-03,
23,O,6,0,0.7312736511230469,63.511,123,128,6.313756e-03,
23,O,7,0,1.3730627298355103,17.313,123,128,6.189636e-03,
23,O,8,0,0.8402680158615112,44.69,124,128,6.085634e-03,
23,O,9,0,0.7678852081298828,55.753,123,128,6.211760e-03,
23,O,10,0,1.173669457435608,32.285,122,128,7.224924e-03,
23,O,11,0,0.6520567536354065,56.76,124,128,5.322188e-03,
23,O,12,0,0.835861086845398,47.716,124,128,6.255355e-03,
23,O,13,0,0.6935330033302307,59.271,124,128,5.784591e-03,
23,O,14,0,0.7775940299034119,56.045,123,128,6.306722e-03,
23,O,15,0,0.7698037028312683,49.545,124,128,5.870330e-03,
23,O,16,1,1.220844030380249,29.547,121,127,7.189572e-03,
23,O,17,1,1.4610341787338257,14.007,124,128,5.924049e-03,
23,O,18,1,1.0488264560699463,22.879,123,128,5.435035e-03,
23,O,19,1,1.2605209350585938,16.363,124,128,5.524194e-03,
23,O,20,1,1.2545746564865112,17.446,124,128,5.677125e-03,
23,O,21,1,1.1938484907150269,36.77,121,127,7.842991e-03,
23,O,22,1,1.0947901010513306,24.921,123,128,5.921096e-03,
23,O,23,1,1.311423897743225,14.947,124,128,5.492938e-03,
23,O,24,1,0.9425605535507202,30.998,123,128,5.685352e-03,
23,O,25,1,1.0746026039123535,43.274,123,127,7.658543e-03,
23,O,26,1,0.7581595182418823,43.627,124,128,5.425293e-03,
23,O,27,1,1.6423202753067017,9.753,123,128,5.556550e-03,
23,O,28,1,1.0329376459121704,24.403,124,128,5.528191e-03,
23,O,29,1,1.1307293176651,27.179,123,128,6.386480e-03,
23,O,30,1,0.8640856742858887,53.075,124,128,6.820042e-03,
23,O,31,1,1.2686631679534912,17.914,124,128,5.817372e-03,
23,Q,0,0,1.982988715171814,12.674,125,128,5.892292e-03,
23,Q,1,0,1.9798873662948608,8.064,125,128,4.726627e-03,
23,Q,2,0,1.6636793613433838,15.913,124,128,5.563841e-03,
23,Q,3,0,1.7133785486221313,16.445,125,128,5.799288e-03,
23,Q,4,0,1.890804409980774,11.657,125,128,5.406480e-03,
23,Q,5,0,1.901183009147644,12.773,124,128,5.744767e-03,
23,Q,6,0,2.226330518722534,8.622,125,128,5.504272e-03,
23,Q,7,0,1.7180522680282593,16.291,125,128,5.773322e-03,
23,Q,8,0,1.7702974081039429,14.301,125,128,5.605001e-03,
23,Q,9,0,1.628556251525879,20.007,125,128,6.110003e-03,
23,Q,10,0,1.6231015920639038,19.333,124,128,6.021795e-03,
23,Q,11,0,1.505750298500061,15.468,125,128,4.975837e-03,
23,Q,12,0,1.8372248411178589,17.764,125,128,6.486357e-03,
23,Q,13,0,1.8582217693328857,16.938,125,128,6.360280e-03,
23,Q,14,0,1.6281797885894775,21.447,124,128,6.267016e-03,
23,Q,15,0,1.6751102209091187,20.435,124,128,6.324029e-03,
23,Q,16,1,1.879381537437439,15.325,124,128,6.197380e-03,
23,Q,17,1,1.773610234260559,15.779,124,128,5.882838e-03,
23,Q,18,1,1.931801438331604,14.711,125,128,6.339835e-03,
23,Q,19,1,2.1320974826812744,12.903,124,128,6.436781e-03,
23,Q,20,1,1.8106122016906738,20.307,123,128,6.808160e-03,
23,Q,21,1,1.9796916246414185,15.064,125,128,6.435514e-03,
23,Q,22,1,1.8742961883544922,19.886,121,128,6.973786e-03,
23,Q,23,1,1.9852919578552246,18.398,124,128,7.080252e-03,
23,Q,24,1,1.872479796409607,18.041,122,128,6.609703e-03,
23,Q,25,1,1.820866584777832,18.316,124,128,6.527726e-03,
23,Q,26,1,1.92543625831604,16.864,125,128,6.679717e-03,
23,Q,27,1,1.721366286277771,16.079,124,128,6.150737e-03,
23,Q,28,1,1.9270790815353394,10.596,122,128,5.236454e-03,
23,Q,29,1,1.866124153137207,15.013,123,128,6.062191e-03,
23,Q,30,1,1.9462355375289917,14.906,123,128,6.262752e-03,
23,Q,31,1,1.9057852029800415,19.66,123,128,7.049668e-03,
23,QK,0,0,0.9566748738288879,17.676,124,128,,1
23,QK,1,0,0.9478489756584167,11.011,125,128,,1
23,QK,2,0,0.9454847574234009,16.613,123,127,,1
23,QK,3,0,1.1771519184112549,12.25,123,127,,1
23,QK,4,0,0.9583109617233276,15.103,123,128,,1
23,QK,5,0,1.1276098489761353,12.764,122,128,,1
23,QK,6,0,0.9583792090415955,14.581,125,128,,1
23,QK,7,0,0.9557375907897949,17.345,124,128,,1
23,QK,8,0,0.9691349267959595,16.148,124,128,,1
23,QK,9,0,1.287675142288208,11.516,123,127,,1
23,QK,10,0,1.1292681694030762,14.097,122,127,,1
23,QK,11,0,1.4490196704864502,6.573,122,127,,1
23,QK,12,0,1.1587421894073486,15.603,123,127,,1
23,QK,13,0,1.0405502319335938,18.26,124,128,,1
23,QK,14,0,1.1159785985946655,16.057,122,127,,1
23,QK,15,0,1.0346821546554565,18.456,123,127,,1
23,QK,16,1,1.0962038040161133,18.31,123,127,,1
23,QK,17,1,0.8309857249259949,28.405,123,128,,1
23,QK,18,1,1.1203908920288086,17.528,125,128,,1
23,QK,19,1,1.0448036193847656,21.103,124,128,,1
23,QK,20,1,0.8936654329299927,32.706,122,128,,1
23,QK,21,1,1.1026756763458252,19.647,124,128,,1
23,QK,22,1,0.8988348841667175,35.109,121,128,,1
