layer,matrix,head,kv_group,sigma1,stable_rank,er99,er999,head_rms_raw,exact
2,O,9,2,2.943495035171509,50.483,125,128,2.888336e-02,
2,O,10,2,3.5007121562957764,29.063,124,128,2.606398e-02,
2,O,11,2,3.036118984222412,35.255,124,128,2.489654e-02,
2,O,12,3,3.2271947860717773,33.522,124,128,2.580468e-02,
2,O,13,3,3.5400888919830322,27.253,124,128,2.552311e-02,
2,O,14,3,3.252023696899414,29.548,125,128,2.441362e-02,
2,O,15,3,4.178216457366943,20.227,124,128,2.595160e-02,
2,O,16,4,3.0524301528930664,37.716,124,128,2.588932e-02,
2,O,17,4,2.9785497188568115,39.371,125,128,2.581093e-02,
2,O,18,4,2.798497438430786,43.884,125,128,2.560294e-02,
2,O,19,4,3.731718063354492,23.946,125,128,2.521958e-02,
2,O,20,5,3.221945285797119,38.425,125,128,2.758277e-02,
2,O,21,5,3.6809017658233643,24.625,124,128,2.522645e-02,
2,O,22,5,3.419238567352295,32.103,124,128,2.675539e-02,
2,O,23,5,2.8721132278442383,51.454,125,128,2.845256e-02,
2,O,24,6,3.367074489593506,29.677,125,128,2.533223e-02,
2,O,25,6,3.1242904663085938,35.483,125,128,2.570237e-02,
2,O,26,6,3.1718404293060303,34.081,124,128,2.557272e-02,
2,O,27,6,2.9313645362854004,40.59,125,128,2.579225e-02,
2,O,28,7,3.213010787963867,27.688,121,127,2.334909e-02,
2,O,29,7,3.2636938095092773,23.565,122,128,2.188036e-02,
2,O,30,7,3.725186347961426,19.494,122,127,2.271489e-02,
2,O,31,7,3.2333569526672363,35.407,121,127,2.657095e-02,
2,VO,0,0,0.26418623328208923,26.144,124,128,,
2,VO,1,0,0.25188878178596497,30.677,124,128,,
2,VO,2,0,0.31491950154304504,20.543,123,128,,
2,VO,3,0,0.29212573170661926,21.932,123,127,,
2,VO,4,1,0.26315727829933167,23.67,122,127,,
2,VO,5,1,0.2676810920238495,21.464,124,128,,
2,VO,6,1,0.26114127039909363,22.313,124,128,,
2,VO,7,1,0.24079382419586182,29.936,123,128,,
2,VO,8,2,0.2653219699859619,36.548,124,128,,
2,VO,9,2,0.30275288224220276,32.345,123,128,,
2,VO,10,2,0.30051207542419434,24.473,123,128,,
2,VO,11,2,0.28450608253479004,25.4,123,128,,
2,VO,12,3,0.34875932335853577,16.946,121,127,,
2,VO,13,3,0.37093889713287354,14.671,121,127,,
2,VO,14,3,0.34572792053222656,15.074,122,128,,
2,VO,15,3,0.4498103857040405,10.7,122,128,,
2,VO,16,4,0.29450997710227966,21.708,122,128,,
2,VO,17,4,0.35954803228378296,14.212,123,128,,
2,VO,18,4,0.275103360414505,24.281,124,128,,
2,VO,19,4,0.40943023562431335,11.822,122,128,,
2,VO,20,5,0.2788866460323334,32.742,124,128,,
2,VO,21,5,0.2888106405735016,24.893,123,127,,
2,VO,22,5,0.2965070903301239,27.354,123,127,,
2,VO,23,5,0.2690529227256775,37.861,124,128,,
2,VO,24,6,0.2839035391807556,21.105,124,128,,
2,VO,25,6,0.2649264633655548,24.906,124,128,,
2,VO,26,6,0.2795618176460266,23.557,123,128,,
2,VO,27,6,0.229056715965271,33.16,124,128,,
2,VO,28,7,0.3030548393726349,18.591,113,124,,
2,VO,29,7,0.2723082900047302,16.577,117,126,,
2,VO,30,7,0.3416759669780731,11.578,116,125,,
2,VO,31,7,0.3458038568496704,17.21,114,125,,
3,Q,0,0,0.2981089949607849,10.647,117,124,2.370797e-02,
3,Q,1,0,0.32980990409851074,8.676,114,124,2.330192e-02,
3,Q,2,0,0.3488796651363373,7.694,115,123,2.382258e-02,
3,Q,3,0,0.3008286952972412,9.884,115,125,2.337297e-02,
3,Q,4,1,0.27113333344459534,10.119,120,124,2.186142e-02,
3,Q,5,1,0.33554112911224365,6.93,121,125,2.259857e-02,
3,Q,6,1,0.3530488610267639,8.543,117,124,2.510329e-02,
3,Q,7,1,0.3405776917934418,8.914,112,123,2.467582e-02,
3,Q,8,2,0.3555794656276703,7.885,122,127,2.402247e-02,
3,Q,9,2,0.2742445468902588,12.877,120,124,2.440264e-02,
3,Q,10,2,0.3072468042373657,10.235,121,126,2.386372e-02,
3,Q,11,2,0.3371839225292206,8.361,119,125,2.375390e-02,
3,Q,12,3,0.3368586599826813,7.376,120,125,2.321066e-02,
3,Q,13,3,0.2654540240764618,13.623,117,124,2.487486e-02,
3,Q,14,3,0.2590797245502472,14.433,120,127,2.565247e-02,
3,Q,15,3,0.3271968364715576,8.953,119,125,2.462064e-02,
3,Q,16,4,0.29085081815719604,10.927,118,124,2.418369e-02,
3,Q,17,4,0.3927876055240631,7.909,118,126,2.549671e-02,
3,Q,18,4,0.35034069418907166,8.633,119,125,2.475429e-02,
3,Q,19,4,0.3284250795841217,9.834,121,126,2.512161e-02,
3,Q,20,5,0.24597382545471191,13.67,122,126,2.383589e-02,
3,Q,21,5,0.240213081240654,13.474,121,125,2.306658e-02,
3,Q,22,5,0.2732771337032318,11.653,121,125,2.371952e-02,
3,Q,23,5,0.24725067615509033,13.828,121,125,2.363675e-02,
3,Q,24,6,0.23678340017795563,16.606,122,127,2.577891e-02,
3,Q,25,6,0.2632203996181488,13.622,121,126,2.575238e-02,
3,Q,26,6,0.3104749321937561,10.467,121,126,2.610553e-02,
3,Q,27,6,0.29337185621261597,11.776,122,127,2.655454e-02,
3,Q,28,7,0.19528701901435852,24.626,122,127,2.664528e-02,
3,Q,29,7,0.2662144899368286,14.025,119,126,2.660418e-02,
3,Q,30,7,0.25415873527526855,15.495,118,125,2.763849e-02,
3,Q,31,7,0.25434407591819763,15.508,119,126,2.804674e-02,
3,K,0,0,0.3622242212295532,7.059,122,128,2.475123e-02,
3,K,1,1,0.15583647787570953,37.574,118,127,2.498635e-02,
3,K,2,2,0.259723961353302,15.578,123,128,2.571368e-02,
3,K,3,3,0.18191993236541748,24.36,120,128,2.410267e-02,
3,K,4,4,0.23029039800167084,20.748,122,128,2.593798e-02,
3,K,5,5,0.3309834897518158,9.735,123,128,2.657358e-02,
